PUBID,SQFT,LnAreaT,ADJWT,SiteEUI,SourceEUI,WKHRS,NWKER,PCNUM,PcDensT,Bank50,HDD,HEATP,CDD,COOLP,WiFridge,OpFridge,ClFridge,ReFridge,VnFridge,NFLOORS
2191,39000,10.571,355.61,95.77515385,187.6458244,70,100,100,2.564,0,8876,100,47,0,0,0,0,0,5,3
2202,600000,12.206,46.81,100.3909017,193.3794505,70,1999,2000,3.333,0,4719,100,1169,75,2,0,8,100,20,40
2204,320000,12.206,70.71,80.61897188,261.9284893,60,450,400,1.25,0,782,100,3707,100,0,0,0,20,5,20
2218,32000,10.373,441.57,42.092125,130.444221,64,88,80,2.5,0,1329,75,1997,60,0,0,0,0,0,3
2222,22750,10.032,444.58,52.5469011,175.5066497,60,85,85,3.736,0,1389,100,466,100,0,0,0,0,0,3
2242,6500,8.78,1697.96,41.17676923,56.46051231,45,3,1,0.154,0,7285,100,535,0,0,0,0,1,0,3
2271,10000,9.21,2314.83,92.3131,276.1506073,90,30,35,3.5,1,3248,100,1098,100,0,0,0,0,1,2
2278,116000,11.661,77.89,111.0584224,359.6690486,55,850,850,7.328,0,5408,100,895,100,0,0,3,5,2,4
2285,6800,8.825,2739.65,34.59558824,62.84398529,40,18,4,0.588,0,3705,100,1363,100,0,0,0,0,1,3
2296,18250,9.812,377.5,51.51539726,120.9972592,50,10,10,0.548,0,1729,100,2844,25,0,0,0,1,0,1
2303,106000,11.571,77.89,103.9191887,333.6393522,45,277,277,2.613,0,5756,100,825,100,0,0,5,10,6,3
2317,5500,8.613,69.29,27.99327273,93.49753091,60,20,20,3.636,0,2344,100,2750,100,0,0,0,2,0,3
2319,95000,11.462,221.72,108.8859684,260.1721249,80,300,200,2.105,0,4938,100,901,100,0,2,4,16,0,5
2339,900000,12.206,82.18,304.33021,492.4902933,168,2000,1400,1.556,0,5259,95,967,95,0,8,36,12,6,40
2343,400000,12.206,42.03,95.765395,256.5450957,168,2000,1000,2.5,0,5796,100,952,100,3,1,0,25,20,20
2354,65000,11.082,39.99,74.43263077,219.9595608,45,40,50,0.769,0,1585,45,757,50,0,0,0,2,0,2
2406,28000,10.24,343.4,148.3711071,434.7012305,55,80,174,6.214,0,2976,100,1482,100,0,0,1,1,2,1
2407,10750,9.283,950.84,42.12372093,131.8746699,60,25,90,8.372,0,1143,100,762,100,0,0,0,0,0,1
2411,136000,11.82,86.75,59.86513971,196.8971361,50,240,250,1.838,0,5599,75,705,75,1,4,4,3,3,4
2419,30000,10.309,190.78,52.06633333,173.9015533,60,49,29,0.967,0,208,100,4655,100,0,0,0,0,0,4
2430,48000,10.779,77.15,80.8816875,148.6014095,60,22,22,0.458,0,5231,100,660,90,0,0,2,0,0,6
2433,98000,11.493,111.95,143.0154796,476.68906,70,250,140,1.429,0,3073,100,1774,100,0,0,0,19,5,4
2438,26000,10.166,869.22,36.4745,64.52311277,60,100,50,1.923,0,4866,80,913,90,0,0,0,1,2,3
2461,5000,8.517,2314.83,41.6128,113.6908346,40,12,15,3,0,2952,100,1605,100,0,0,0,1,0,2
2462,8600,9.06,2996.93,41.46325581,132.3024286,50,15,14,1.628,0,2454,100,1865,100,0,0,0,2,0,1
2491,36500,10.505,221.81,114.7072603,335.7758199,168,200,120,3.288,0,1643,100,421,100,0,0,0,3,0,3
2494,168000,12.032,79.48,108.1637619,361.2477284,66,425,300,1.786,0,7479,100,705,100,0,0,0,6,2,7
2517,14500,9.582,2724.37,140.9466207,268.184177,90,33,30,2.069,0,8448,100,668,90,0,0,0,1,0,2
2519,370000,12.206,6.04,67.03682162,179.0679899,60,500,718,1.941,0,4411,100,1457,80,0,0,10,15,3,9
2529,52000,10.859,88.09,67.30938462,193.221008,48,225,272,5.231,0,972,100,1271,100,0,0,0,3,0,4
2545,405000,12.206,5.32,70.06944691,221.1509272,55,610,550,1.358,0,5747,100,552,93,3,5,3,0,9,20
2550,70000,11.156,190.78,63.36571429,211.6414857,55,200,100,1.429,0,646,100,3693,100,0,0,0,5,3,3
2553,235000,12.206,41.82,82.87546383,273.1110507,50,750,1000,4.255,0,6550,100,878,100,2,0,0,4,12,3
2563,8700,9.071,808.04,42.05586207,121.5538099,50,22,35,4.023,0,3107,100,1249,100,0,0,0,1,0,1
2586,700000,12.206,89.9,70.40385857,187.759107,59,2000,1500,2.143,0,2308,100,235,100,0,0,0,30,10,40
2620,19250,9.865,807.37,71.99215584,240.4538005,50,32,35,1.818,0,3051,100,2121,100,0,0,0,0,2,1
2624,72000,11.184,242.54,108.6882083,311.3962431,50,265,240,3.333,0,1121,75,1736,75,0,0,0,10,2,6
2625,40000,10.597,88.09,62.455725,208.6021215,50,75,60,1.5,0,2002,100,207,100,0,0,0,3,3,2
2631,14500,9.582,869.22,39.61744828,104.230497,50,40,30,2.069,0,9277,100,214,100,0,0,0,3,0,3
2638,295000,12.206,111.95,116.9656576,381.901969,168,300,250,0.847,0,3834,100,1438,100,0,0,0,10,5,3
2658,122000,11.712,77.89,79.66707377,265.9688335,60,300,250,2.049,0,4744,100,1502,100,0,0,0,8,2,4
2659,15750,9.665,2976.63,44.44050794,148.4312965,40,4,21,1.333,0,1141,100,2783,100,0,0,0,0,0,1
2662,255000,12.206,89.9,58.33404314,193.8219074,60,700,500,1.961,0,3148,100,215,100,0,0,0,4,10,20
2663,450000,12.206,25.53,174.3439711,413.6990546,168,1050,900,2,0,7168,100,772,95,3,3,3,100,20,7
2699,45000,10.714,206.11,75.08635556,191.3500736,73,108,71,1.578,0,3674,100,1258,100,0,0,0,3,6,2
2708,28000,10.24,318.61,79.652,173.475412,45,65,70,2.5,0,5997,80,472,80,0,0,0,6,1,3
2740,66000,11.097,221.72,83.81616667,195.9243273,50,125,200,3.03,0,5790,60,745,60,0,0,0,10,1,6
2742,700000,12.206,7.15,214.4752043,368.3105977,40,300,300,0.429,0,7170,100,782,100,4,4,4,0,15,7
2748,120000,11.695,76.17,85.21063333,284.6035153,95,200,200,1.667,0,975,75,3842,100,0,0,1,0,6,5
2764,21000,9.952,181.42,84.05738095,260.2516864,50,100,100,4.762,0,1209,100,573,100,0,0,0,7,2,4
2781,320000,12.206,28.44,219.8799313,564.8517231,168,400,400,1.25,0,5377,100,988,85,1,4,0,0,6,4
2784,205000,12.206,2.27,134.7776341,446.2164724,59,543,700,3.415,0,7128,90,669,90,2,0,7,12,7,4
2797,34500,10.449,564.97,69.0853913,202.0541275,40,88,85,2.464,0,2610,100,2094,100,0,0,0,3,0,3
2802,36000,10.491,706.45,43.12055556,142.9454836,55,23,28,0.778,0,924,100,4049,100,0,0,0,1,1,1
2818,10000,9.21,1945.16,82.3879,275.175586,55,47,46,4.6,0,1425,97,3242,97,0,0,0,5,0,1
2866,18500,9.826,343.4,226.9854054,758.1312541,48,7,5,0.27,0,3311,100,1361,100,0,0,0,3,0,1
2882,205000,12.206,14.75,63.49585854,146.5876065,55,190,190,0.927,0,6255,100,529,80,0,0,0,0,5,9
2926,100000,11.513,243.77,110.1991,264.2363343,60,140,80,0.8,0,5654,100,913,100,0,0,0,0,0,12
2934,104000,11.552,74.65,89.37904808,298.5260206,65,550,525,5.048,0,2352,100,2441,100,0,0,0,0,8,2
2938,200000,12.206,76.17,175.22259,585.0818768,168,300,300,1.5,0,182,0,4724,100,1,0,0,4,5,4
2939,44000,10.692,406.42,149.4905455,352.0053259,80,70,100,2.273,0,5247,100,1041,100,0,0,0,3,2,4
2943,120000,11.695,113.58,53.69306667,90.10388059,72,300,1000,8.333,0,5038,100,1212,80,0,0,0,0,4,20
2944,13000,9.473,364.88,195.4980769,402.8618337,60,31,25,1.923,0,8488,100,692,100,0,0,0,0,2,3
2950,130000,11.775,120.6,138.6900923,346.9660129,50,270,330,2.538,0,4935,100,1262,100,0,0,3,0,3,10
2952,60000,11.002,242.54,40.52236667,122.1649228,50,96,120,2,0,1324,60,467,60,0,0,0,12,0,5
2981,33000,10.404,41.74,68.04663636,202.6033634,50,120,110,3.333,0,908,100,868,100,0,0,0,1,3,2
3001,158000,11.97,77.89,80.84799367,178.7981603,100,630,810,5.127,0,7888,100,687,100,0,1,4,10,4,3
3004,70000,11.156,296.94,140.1373143,462.8745648,40,215,215,3.071,0,4020,100,1694,100,0,0,0,0,0,3
3016,300000,12.206,10.35,92.23987667,191.8345069,60,551,551,1.837,0,5939,100,747,65,2,20,3,15,5,2
3028,12500,9.433,776.54,46.27656,154.5637104,50,34,35,2.8,0,6835,100,750,100,0,0,0,1,0,1
3071,12750,9.453,802.59,120.7153725,231.1297717,168,25,30,2.353,0,7960,100,360,100,0,0,0,1,1,1
3079,15000,9.616,365.45,124.8925333,197.2024631,40,5,6,0.4,0,6602,80,709,80,0,0,0,1,1,2
3086,30000,10.309,331.3,57.8207,155.3982307,60,25,30,1,0,3248,100,1461,90,0,0,0,2,0,1
3093,48000,10.779,364.88,56.78491667,189.6616217,40,53,60,1.25,0,5794,100,812,100,0,0,0,0,1,4
3094,146000,11.891,77.89,79.40631507,258.8227549,55,522,486,3.329,0,5353,100,941,100,1,4,3,8,6,1
3101,360000,12.206,70.71,79.21941389,261.6173819,84,900,1000,2.778,0,1928,0,2679,100,3,3,4,0,14,8
3105,120000,11.695,101.47,51.5032,143.5905939,55,580,225,1.875,0,2266,100,1297,100,0,0,2,9,4,2
3112,9000,9.105,402.35,281.5504444,499.8447767,40,45,45,5,0,5953,100,777,100,0,0,0,6,0,2
3169,425000,12.206,20.54,589.6757271,801.878471,168,500,1500,3.529,0,5934,100,689,100,5,1,30,100,5,3
3173,20500,9.928,780.38,81.35985366,199.009009,50,35,50,2.439,0,6475,100,493,100,0,0,0,0,0,2
3175,41000,10.621,364.88,100.3295122,204.1707181,75,60,40,0.976,0,6818,100,838,100,4,0,0,5,0,5
3193,330000,12.206,5.49,317.4459455,957.0010915,168,2000,900,2.727,0,3064,92,1100,92,3,6,8,7,10,1
3197,13500,9.51,2447.55,37.84125926,85.64021615,40,9,5,0.37,1,5565,33,1298,33,0,0,0,1,0,3
3217,29000,10.275,937.43,309.1519655,420.7434269,70,40,30,1.034,0,8091,100,584,10,0,0,0,4,4,4
3219,70000,11.156,199.06,85.7835,259.4008547,60,375,300,4.286,0,8277,100,560,75,0,0,0,0,0,4
3225,6500,8.78,734.43,55.26123077,184.5725108,40,15,16,2.462,0,3234,100,1386,100,0,0,0,1,0,1
3229,14250,9.565,776.54,39.00133333,91.2778214,45,14,14,0.982,0,5912,80,1273,80,0,0,0,1,0,3
3232,33500,10.419,364.88,101.3843284,213.7576602,60,85,95,2.836,0,6203,100,613,100,0,0,0,0,3,6
3236,7400,8.909,1190.51,94.42175676,169.4667684,60,32,26,3.514,0,5478,100,793,90,0,0,0,1,0,4
3242,385000,12.206,7.02,43.74159221,146.096918,50,796,796,2.068,0,2954,100,2210,85,1,0,0,15,12,20
3245,33500,10.419,113.64,139.5901194,333.6255747,50,200,120,3.582,0,7354,100,491,100,0,0,0,2,1,1
3248,36500,10.505,721.69,62.57320548,107.2094586,40,45,14,0.384,0,7567,33,512,20,0,0,0,1,1,2
3255,13000,9.473,869.22,68.27907692,135.5800129,50,15,15,1.154,0,6408,100,614,85,0,0,0,0,0,1
3257,128000,11.76,74.65,74.58876563,206.05584,168,125,100,0.781,0,2566,70,2311,70,0,0,0,4,5,2
3258,600000,12.206,6.04,68.95900167,183.1941267,55,1150,1010,1.683,0,4825,90,1218,90,1,1,0,24,4,14
3287,28000,10.24,214.83,55.03996429,183.8334807,60,22,6,0.214,0,582,100,4153,100,0,0,2,4,0,2
3292,7000,8.854,173.32,114.4535714,272.2099459,48,12,16,2.286,0,5609,100,829,100,0,0,0,1,1,1
3324,600000,12.206,46.81,85.67766833,286.1634122,168,1000,1000,1.667,0,5556,100,915,85,0,0,4,12,15,20
3337,26500,10.185,444.58,65.59524528,161.4222448,45,41,105,3.962,0,1824,100,409,100,0,0,0,1,1,1
3341,75000,11.225,80.53,139.1567333,345.6935993,60,100,10,0.133,0,5289,100,859,100,1,0,10,15,2,5
3368,18000,9.798,869.22,45.50261111,55.025076,50,25,26,1.444,0,6103,97,535,97,0,0,2,3,0,1
3373,435000,12.206,5.59,45.56057011,152.1723042,55,1000,1000,2.299,0,2450,100,2607,100,1,3,0,10,6,10
3391,14750,9.599,2447.55,62.15661017,191.3028794,55,26,33,2.237,1,6197,100,864,100,0,0,0,2,0,2
3396,162000,11.995,228.2,82.21638889,132.3877533,78,110,135,0.833,0,4021,90,1412,87,0,0,0,6,3,4
3407,82000,11.314,242.54,87.33865854,286.331378,40,250,300,3.659,0,2583,100,223,100,0,0,0,7,1,5
3454,9400,9.148,352.05,67.36882979,142.7971083,40,13,14,1.489,0,5937,100,919,100,0,0,0,2,0,2
3457,15750,9.665,3500.24,134.4421587,244.1510959,60,30,25,1.587,0,5370,100,396,100,0,0,0,1,1,2
3469,10000,9.21,2739.65,39.895,93.1783125,100,40,20,2,0,4733,100,1052,80,0,0,0,0,0,2
3473,10001,9.21,869.22,192.1479852,441.0820024,168,25,40,4,0,4759,100,464,100,0,0,0,2,0,1
3484,93000,11.44,116.76,173.4268925,578.8983502,40,135,85,0.914,0,4632,100,1177,100,0,0,0,3,5,3
3488,54000,10.897,72.3,99.69755556,268.8831775,45,173,250,4.63,0,6166,100,751,100,0,0,0,3,2,2
3491,168000,12.032,76.17,53.97872619,179.9042458,70,475,500,2.976,0,1529,100,2798,100,0,0,0,0,0,10
3526,28500,10.258,190.78,115.3920351,385.4093972,55,60,50,1.754,0,1387,100,3694,100,0,0,0,3,1,3
3556,97000,11.482,87.5,108.3392371,355.6730673,168,275,300,3.093,0,838,100,2590,100,0,0,0,0,1,5
3557,7000,8.854,2544.74,92.514,308.99676,66,7,8,1.143,1,1464,100,3021,100,0,0,0,1,1,1
3591,10750,9.283,364.88,69.06204651,230.6672353,40,60,25,2.326,1,6083,100,612,100,0,0,0,0,0,3
3612,9400,9.148,780.38,78.92510638,230.6384668,45,37,46,4.894,0,5301,100,923,100,0,0,0,2,0,1
3614,122000,11.712,86.75,67.6182623,141.6429537,45,350,300,2.459,0,5201,100,1123,100,1,3,5,0,0,5
3617,36500,10.505,406.42,84.54353425,202.883942,79,53,27,0.74,0,3951,100,1253,98,2,0,3,4,3,1
3621,85000,11.35,116.76,100.2210824,334.5186917,54,330,120,1.412,0,7078,85,696,85,0,0,2,0,2,3
3630,18000,9.798,406.42,38.79816667,87.70219344,40,20,15,0.833,0,5439,100,496,75,0,0,0,2,0,2
3670,365000,12.206,5.27,107.4882521,209.2619742,66,814,850,2.329,0,5966,100,893,100,0,0,0,10,20,14
3673,280000,12.206,25.53,218.2200036,399.4738907,50,600,500,1.786,0,6660,100,583,90,0,0,6,0,6,8
3695,5700,8.648,776.54,50.30087719,76.13787877,60,5,9,1.579,0,6627,90,585,50,0,0,0,2,0,3
3710,180000,12.101,86.75,75.89512778,225.9179374,60,300,1000,5.556,0,5786,100,825,90,2,2,4,6,6,2
3723,270000,12.206,82.18,104.5212852,252.9818631,45,700,700,2.593,0,4813,100,1247,100,0,0,0,0,5,11
3735,5900,8.683,780.38,156.0877966,173.1718936,40,18,10,1.695,0,6556,100,593,100,0,0,0,1,0,3
3745,11750,9.372,869.22,42.18757447,138.7335153,40,24,24,2.043,0,5613,80,969,90,0,0,0,1,0,4
3752,36000,10.491,444.58,102.0127222,340.7224922,60,200,400,11.1,0,1117,100,1758,100,0,0,0,3,2,4
3755,93000,11.44,69.29,148.6045806,484.0303416,168,750,300,3.226,0,2493,100,2507,100,0,0,0,6,10,2
3772,19000,9.852,864.37,20.34415789,67.94948737,168,20,8,0.421,0,5986,100,975,100,0,0,0,0,0,1
3789,198000,12.196,79.48,81.96676768,273.4644213,40,709,709,3.581,0,4499,96,1261,96,1,0,1,5,8,6
3802,11500,9.35,706.3,77.76626087,164.9704189,50,34,48,4.174,0,7134,100,318,100,0,0,0,3,0,2
3812,205000,12.206,95.2,103.5939024,339.283355,68,1200,1200,5.854,0,900,100,2007,100,0,0,0,11,20,11
3816,9800,9.19,2447.55,28.67765306,64.92964235,40,15,13,1.327,0,5283,59,1353,59,0,0,0,1,1,2
3821,122000,11.712,83.38,71.86239344,190.6561547,86,270,245,2.008,0,5851,100,660,100,0,7,0,12,2,2
3832,26500,10.185,869.22,94.59984906,149.8175614,42,14,16,0.604,1,6769,100,248,75,0,0,0,0,0,4
3840,345000,12.206,101.21,287.8332435,813.7410712,168,1300,1400,4.058,0,5384,100,892,100,3,30,1,0,16,4
3853,99000,11.503,80.53,52.06120202,132.1285247,45,80,31,0.313,0,5547,100,1032,100,0,0,0,0,0,1
3859,10250,9.235,869.22,84.15707317,185.8524195,40,16,19,1.854,0,6611,100,441,25,0,0,0,2,1,2
3880,104000,11.552,214.44,38.48096154,128.5264115,50,300,300,2.885,0,8662,100,666,80,0,0,0,4,3,5
3904,16250,9.696,807.37,10.67612308,35.65825108,45,45,50,3.077,0,216,0,3777,100,0,0,0,0,0,4
3911,102000,11.533,77.89,68.4722549,208.2526511,70,250,250,2.451,0,6473,100,789,100,0,0,0,10,4,6
3927,305000,12.206,46.81,137.2224918,385.6261502,60,1400,1400,4.59,0,5938,100,669,100,3,4,3,0,16,4
3969,23750,10.075,1575.16,72.11086316,240.8502829,60,117,117,4.926,0,648,100,3072,100,0,0,0,6,2,2
3970,300000,12.206,46.81,198.7098867,458.4017789,168,2000,2000,6.667,0,5293,100,960,100,1,0,0,0,0,20
4006,15750,9.665,781.6,15.06425397,27.76923238,53,4,1,0.063,0,6795,100,487,20,0,0,0,1,0,1
4032,194000,12.176,77.89,21.89046392,35.42165001,45,30,20,0.103,0,7595,100,558,100,0,0,0,3,0,5
4039,12500,9.433,419.28,71.20312,211.0002266,40,13,9,0.72,0,2787,100,1806,100,0,0,0,2,1,1
4045,8300,9.024,864.37,79.05686747,191.8171222,88,15,17,2.048,0,5769,100,824,100,0,0,0,0,0,3
4060,14500,9.582,364.88,145.8696552,275.1058577,45,60,60,4.138,0,6268,100,641,100,0,1,0,4,0,4
4088,240000,12.206,88.66,72.77607083,196.8355373,100,300,250,1.042,0,2657,100,2584,100,1,0,0,0,12,3
4104,24000,10.086,444.58,102.43925,278.2281913,60,125,99,4.125,0,1713,100,1458,100,0,0,0,0,4,2
4128,20750,9.94,706.3,51.05681928,170.5297764,45,51,55,2.651,0,6632,100,858,100,0,0,0,5,2,2
4152,700000,12.206,5.32,110.50652,199.7792219,50,1450,1600,2.286,0,4606,100,142,100,1,4,1,40,14,7
4156,400000,12.206,38.33,110.11966,367.3149429,40,341,253,0.633,0,270,0,4336,95,1,0,0,28,0,8
4161,250000,12.206,28.58,105.592648,275.5728387,168,550,500,2,0,5947,100,858,100,0,0,0,2,0,20
4198,99000,11.503,88.09,66.68523232,206.1291991,56,300,100,1.01,0,1053,75,2238,100,0,0,0,6,0,10
4216,275000,12.206,46.81,88.82869818,288.9648712,50,750,750,2.727,0,6099,75,599,75,0,0,0,0,10,20
4224,265000,12.206,28.46,109.7533698,355.9994462,60,600,500,1.887,0,2481,100,1368,100,3,0,4,0,12,3
