BldgID,Area,ADJWT,SourceEUI,UnitDen,CapFactor,LiftDen,WkrDen,PcDen,CFDen,CWDen,RWDen,RWDenT,CDD,HDD,CoolP,HeatP
1,80425,182.9,213.7,1.231,70,0,0.187,0.187,0.05,0.025,0.062,0.062,932,4915,100,100
2,57600,182.9,96.9,0.903,35,0,0.122,0.052,0.069,0.035,0.139,0.139,1141,4648,100,100
3,50684,182.9,163.9,0.848,76,0.02,0.217,0.099,0.039,0,0.158,0.158,652,7758,100,100
4,25000,182.9,226,2.36,91,0,0.48,0.24,0.2,0.12,0.08,0.08,591,5779,100,100
5,29362,182.9,124.2,1.975,100,0,0.443,0.238,0.068,0,0.136,0.136,834,5331,100,100
6,8426,182.9,379.4,3.204,94,0,1.424,0.237,0.356,0.119,0.119,0.119,391,9099,40,100
7,23930,182.9,165,1.839,72,0,0.418,0.209,0.084,0,0.125,0.125,834,5331,100,100
8,70812,182.9,241.3,1.539,97,0,0.621,0.141,0.042,0,0.085,0.085,932,4915,100,100
9,24900,182.9,188.8,1.807,94,0,0.402,0.201,0.161,0.08,0,0,378,6168,100,100
10,79000,182.9,162.4,1.316,74,0,0.316,0.19,0.038,0,0.101,0.101,514,6806,100,100
11,157203,182.9,113.8,1.361,97,0,0.165,0.083,0.006,0.083,0,0,653,6572,100,100
12,131852,182.9,273,1.198,76,0,0.501,0.129,0.038,0.03,0.038,0.038,892,5421,100,100
13,24397,182.9,75.1,1.844,92,0,0.615,0.164,0.164,0.123,0,0,834,5331,95,95
14,125926,182.9,266.8,1.525,96,0,0.381,0.246,0.048,0.024,0.048,0.048,1105,4675,100,100
15,100000,182.9,254.5,1.04,88,0,0.31,0.2,0.06,0.03,0.05,0.05,932,4915,100,100
16,196323,182.9,287.9,1.263,94,0,0.168,0.407,0.025,0.015,0.031,0.031,908,4721,100,100
17,144000,182.9,197.9,1.688,98,0,0.556,0.278,0.042,0.028,0.056,0.056,1105,4675,100,100
18,49439,182.9,316.1,1.274,96,0.081,0.728,0.263,0.081,0.04,0.101,0.101,1746,2806,100,100
19,28750,182.9,136.4,1.252,67,0,0.522,0.104,0.07,0.035,0.035,0.035,647,6080,100,100
20,24897,182.9,373.5,1.647,97,0.08,1.807,0.402,0.08,0.08,0,0,2450,1622,100,100
21,22500,182.9,602,3.467,80,0,1.111,0.356,0.133,0.089,0.267,0.16,932,4915,100,100
22,80724,1.5,170.4,1.202,97,0,0.235,0.062,0.025,0.012,0.099,0.099,514,6806,100,100
23,25886,1.5,92.2,1.893,87,0,0.579,0.193,0.116,0.116,0.077,0.077,289,5106,50,100
24,60165,1.5,150.3,1.862,92,0,0.548,0.199,0.05,0.017,0.066,0.066,3058,1190,100,100
25,87455,1.5,36.4,1.235,76,0,0.286,0.057,0.023,0,0.137,0.137,445,5763,100,100
26,58400,1.5,28.1,1.353,84,0,0.342,0.086,0.051,0,0.086,0.086,445,5763,100,100
27,70000,1.5,93.3,1.357,81,0,0.371,0.114,0.029,0.029,0.043,0.043,932,4915,100,100
28,51429,1.5,124.6,1.497,71,0,0.408,0.136,0.039,0.019,0.156,0.156,932,4915,100,100
29,63000,1.5,103.1,1.254,93,0,0.397,0.079,0.079,0.016,0.032,0.032,1389,4313,100,100
30,60300,1.5,85.9,1.128,67,0,0.415,0.133,0.1,0.017,0.066,0.066,481,6083,100,100
31,59191,1.5,75.4,1.335,84,0,0.372,0.084,0.051,0.034,0.068,0.068,481,6083,100,100
32,28800,1.5,196.8,2.361,95,0,0.521,0.243,0.104,0,0.174,0.16,838,6263,95,95
33,63000,1.5,116.2,1.508,96,0,0.333,0.111,0.048,0.016,0.111,0.111,481,6083,100,100
34,56500,1.5,394.9,1.398,58,0,0.248,0.106,0.088,0.035,0.053,0.053,2934,1915,100,100
35,65000,1.5,673.9,1.631,92,0,0.338,0.108,0.077,0,0.123,0.123,481,6083,100,100
36,45777,1.5,112.2,2.796,82,0,0.568,0.131,0.066,0,0.087,0.087,307,6690,80,90
37,39117,1.5,91.1,1.994,88,0,0.46,0.179,0.051,0,0.077,0.077,307,6690,100,100
38,55593,1.5,57,1.565,99,0,0.378,0.108,0.072,0,0.072,0.072,301,6847,100,100
39,68224,1.5,189.2,1.422,75,0,0.235,0.103,0.015,0,0.103,0.103,892,5421,95,95
40,108000,1.5,56.3,1.352,97,0,0.148,0.056,0.028,0.009,0.037,0.037,420,5804,100,100
41,66083,1.5,47.3,1.422,100,0,0.242,0.091,0.045,0,0.045,0.045,386,6629,100,100
42,36382,1.5,85,2.391,99,0,0.55,0.165,0.11,0,0.11,0.11,301,6847,100,100
43,31500,1.5,105.4,1.524,100,0,0.476,0.349,0.063,0,0.127,0.127,1458,4501,95,95
44,46000,1.5,89.3,1.652,46,0.022,0.391,0.13,0.065,0.043,0.109,0.109,576,5764,100,100
45,57100,1.5,127.8,1.436,71,0,0.315,0.123,0.07,0.035,0.07,0.07,591,5779,100,100
46,55436,1.5,79.9,1.353,70,0,0.307,0.108,0.054,0.018,0.072,0.072,301,6847,95,100
47,72652,1.5,52.8,1.335,39,0,0.262,0.083,0.041,0,0.083,0.083,208,7338,100,100
48,55298,1.5,140.6,1.483,71,0,0.344,0.127,0.036,0,0.109,0.109,507,6954,100,100
49,86000,1.5,197,1.43,90,0,0.291,0.081,0.058,0.023,0.093,0.093,2944,1061,100,100
50,53993,1.5,86.5,1.389,86,0,0.315,0.111,0.037,0.093,0,0,289,5106,100,100
51,52710,1.5,120.1,2.751,77,0,0.531,0.114,0.057,0.019,0.076,0.076,1105,4675,100,100
52,49966,1.5,135.3,0.881,100,0,0.32,0.2,0.04,0.02,0.06,0.06,1458,4501,95,95
53,27000,1.5,68.2,1.667,93,0,0.667,0.259,0.111,0,0.074,0.074,834,5331,100,100
54,69706,1.5,99.1,1.406,73,0,0.373,0.115,0.029,0.014,0.057,0.057,908,4721,100,100
55,78937,1.5,165,1.343,63,0,0.241,0.114,0.025,0,0.127,0.127,507,6954,100,100
56,68746,1.5,193.7,1.498,82,0,0.364,0.102,0.058,0.029,0.058,0.058,834,5331,100,100
57,34551,1.5,111.3,1.852,60,0,0.579,0.174,0.087,0,0.087,0.087,1092,3984,100,100
58,67434,1.5,115.5,1.438,82,0,0.326,0.089,0.044,0,0.119,0.119,1039,4737,100,100
59,45000,1.5,182.3,1.556,71,0,0.511,0.133,0.044,0,0.133,0.133,834,5331,100,100
60,36019,1.5,113.9,1.527,56,0,0.389,0.139,0.056,0.028,0.028,0.028,1389,4313,100,100
61,93984,1.5,144.5,1.064,78,0,0.149,0.085,0.021,0,0.032,0.032,653,6572,95,95
62,61013,1.5,51.4,1.59,82,0,0.41,0.115,0.049,0,0.131,0.131,431,6144,100,100
63,35751,1.5,138.1,1.818,64,0,0.559,1.566,0.056,0,0.112,0.112,1092,3984,100,100
64,67167,1.5,108,1.474,77,0,0.357,0.089,0.03,0,0.104,0.104,1092,3984,100,100
65,65212,1.5,40.6,1.211,84,0,0.353,0.077,0.046,0,0.092,0.092,445,5763,100,100
66,56372,1.5,194.5,1.242,80,0,0.302,0.089,0.053,0,0.195,0.16,2833,1877,100,100
67,40000,1.5,27.5,1.95,96,0,0.525,0.175,0.075,0,0.075,0.075,307,6690,100,100
68,37800,1.5,87.2,1.64,82,0,0.423,0.159,0.053,0,0.106,0.106,445,5763,100,100
69,45595,1.5,210.9,1.755,92,0,0.351,0.132,0.044,0,0.066,0.066,389,7222,100,100
70,55000,1.5,141.4,1.364,94,0,0.382,0.091,0.036,0,0.109,0.109,380,7368,100,100
71,30012,1.5,118.6,1.933,88,0,0.5,0.2,0.067,0,0.1,0.1,1100,5402,100,100
72,80000,1.5,125.6,1.313,84,0,0.2,0.088,0.038,0.013,0.05,0.05,1039,4737,90,90
73,52000,1.5,127.7,1.423,93,0,0.404,0.115,0.115,0.019,0.077,0.077,1092,3984,100,100
74,43258,1.5,98.9,1.248,92,0,0.37,0.139,0.069,0.023,0.092,0.092,1039,4737,95,95
75,54000,1.5,80.5,1.519,83,0,0.426,0.13,0.019,0,0.093,0.093,307,6690,100,100
76,54000,1.5,38.9,1.519,83,0,0.426,0.13,0.019,0,0.093,0.093,286,7412,100,100
77,35002,1.5,100.8,2.171,93,0,0.571,0.171,0.114,0,0.114,0.114,301,6847,100,100
78,30960,1.5,116.3,2.455,93,0,0.646,0.194,0.129,0,0.129,0.129,257,6664,100,100
79,64756,1.5,30.2,1.467,96,0,0.324,0.108,0.046,0.015,0.108,0.108,420,5804,100,100
80,67129,1.5,128.1,1.475,66,0,0.432,0.074,0.045,0.015,0.074,0.074,1092,3984,100,100
81,42933,1.5,101.6,1.398,56,0,0.326,0.163,0.047,0,0.047,0.047,386,6629,100,100
82,51000,1.5,147.4,1.569,80,0,0.431,0.02,0.078,0.02,0.137,0.137,1039,4737,100,100
83,87500,182.9,19.5,1.097,82,0.011,0.514,0.114,0.023,0.023,0.023,0.023,1072,4696,100,100
84,41482,1.5,101.1,1.856,49,0,0.121,0.289,0.096,0.024,0.072,0.072,332,5901,100,100
85,24964,1.5,238.7,2.243,96,0,0.681,0.16,0.04,0,0.16,0.16,1108,5169,100,100
86,25084,1.5,165.8,2.232,93,0,0.638,0.199,0.08,0,0.159,0.159,1092,3984,100,100
87,27052,1.5,139.1,2.218,91,0,0.628,0.259,0.037,0,0.148,0.148,453,5713,100,100
88,26500,1.5,155.5,1.132,96,0,0.943,0.151,0.038,0.038,0.075,0.075,2488,1993,100,100
89,56068,1.5,131.9,1.373,60,0,0.375,0.054,0.054,0,0.161,0.16,2491,1997,100,100
90,99084,1.5,128.3,1.06,75,0,0.222,0.04,0.061,0.02,0.04,0.04,3398,548,98,98
91,50702,1.5,334.1,1.479,99,0,0.375,0.138,0.138,0.02,0.059,0.059,2934,1915,100,100
92,26500,1.5,199.6,1.132,87,0,0.453,0.302,0.075,0.038,0.113,0.113,2335,1588,95,95
93,30543,1.5,364.6,2.914,94,0,0.589,0.131,0.098,0.033,0.065,0.065,2339,1534,100,100
94,59296,1.5,325.1,2.597,74,0,0.422,0.169,0.051,0.034,0.219,0.16,3398,548,100,100
95,18000,1.5,323.5,1.667,91,0,0.833,0.278,0.111,0.056,0.111,0.111,1992,2300,100,100
96,27275,1.5,223.8,2.2,83,0,0.44,0.22,0.037,0,0.147,0.147,1746,2806,100,100
97,18000,1.5,38.7,2.889,98,0,1,0.333,0.056,0,0.278,0.16,1522,3214,100,100
98,25000,1.5,205.4,2.08,80,0,0.64,0.2,0.08,0,0.16,0.16,1746,2806,100,100
99,60000,1.5,100.6,1.167,81,0,0.367,0.067,0.067,0.017,0.017,0.017,3398,548,100,100
100,72742,1.5,81,1.622,67,0,0.399,0.096,0.027,0.014,0.096,0.096,2924,799,100,100
101,32020,1.5,214.4,1.686,100,0,0.375,0.281,0.031,0,0.094,0.094,562,6496,100,100
102,90353,1.5,135.4,1.793,75,0,0.277,0.055,0.044,0.011,0.055,0.055,3398,548,100,100
103,74500,1.5,158.3,1.557,85,0,0.362,0.094,0.067,0.013,0.04,0.04,3398,548,100,100
104,128676,1.5,47.3,1.166,97,0,0.466,0.093,0.054,0.023,0.389,0.16,3747,257,100,100
105,56740,1.5,153.4,1.815,69,0,0.441,0.141,0.088,0.035,0,0,3398,548,100,100
106,40000,1.5,101,2.25,76,0.025,0.6,0.125,0.075,0,0.1,0.1,3398,548,100,100
107,95684,1.5,153.7,1.024,67,0.01,0.23,0.073,0.031,0.021,0.031,0.031,464,6242,100,100
108,26768,1.5,558.3,1.756,69,0.037,0.56,0.187,0.075,0.075,0,0,3058,1190,100,100
109,137000,1.5,139.8,1.431,81,0,0.182,0.036,0.029,0,0.058,0.058,3398,548,100,100
110,40752,1.5,160.4,2.086,90,0,0.589,0.123,0.025,0.025,0.049,0.049,3398,548,100,100
111,52000,1.5,123.6,1.212,83,0,0.481,0.135,0.135,0,0.077,0.077,2934,684,100,100
112,54428,1.5,124,1.525,81,0,0.276,0.147,0.037,0,0.055,0.055,2335,1588,95,95
113,68800,1.5,313.9,1.628,83,0,0.407,0.073,0.044,0.015,0.058,0.058,3058,1190,100,100
114,58246,1.5,175.1,1.717,77,0,0.395,0.103,0.052,0.017,0.034,0.034,2339,1534,100,100
115,152262,1.5,73.6,0.959,84,0.007,0.25,0.079,0.059,0.007,0.394,0.16,3398,548,100,100
116,59713,1.5,227.5,3.266,91,0,0.754,0.134,0.05,0.084,0.234,0.16,3398,548,75,75
117,63500,1.5,80.7,1.134,63,0,0.315,0.094,0.047,0,0.079,0.079,2924,799,100,100
118,50000,1.5,124.6,1.36,100,0,0.36,0.14,0.08,0.06,0,0,3398,548,100,100
119,110000,1.5,73.6,1.336,94,0,0.273,0.064,0.055,0.018,0.064,0.064,2339,1534,98,98
120,62518,1.5,211.2,1.44,84,0.016,0.304,0.112,0.048,0.016,0.08,0.08,464,6242,100,100
121,42563,1.5,76.4,1.504,94,0,0.517,0.164,0.023,0.094,0.023,0.023,2934,684,100,100
122,49952,1.5,134.9,1.241,96,0,0.36,0.08,0.06,0.02,0.08,0.08,2934,684,100,100
123,80000,1.5,215.3,1.088,95,0,0.213,0.075,0.013,0,0.038,0.038,3398,548,100,100
124,51513,1.5,45.4,1.922,88,0,0.524,0.116,0.039,0.039,0,0,2924,799,95,95
125,58246,1.5,131.1,1.717,92,0,0.412,0.155,0.052,0.017,0.052,0.052,2924,799,99,99
126,66000,1.5,180,1.288,87,0,0.409,0.091,0.03,0.015,0.061,0.061,2934,684,100,100
127,57000,1.5,67.3,1.123,71,0,0.281,0.088,0.07,0.018,0.035,0.035,2339,1534,100,100
128,52000,1.5,86.6,1.288,96,0,0.346,0.115,0.019,0.019,0.058,0.058,2924,799,100,100
129,66000,1.5,289.6,1.288,94,0,0.348,0.076,0.015,0.015,0.061,0.061,2339,1534,100,100
130,99772,1.5,125.4,1.103,69,0,0.321,0.05,0.08,0.01,0.1,0.1,3398,548,100,100
131,70000,1.5,194.7,1.371,84,0,0.414,0.114,0.014,0.029,0.071,0.071,3398,548,100,100
132,42938,1.5,106.2,1.467,90,0,0.489,0.14,0.093,0.047,0.023,0.023,2339,1534,100,100
133,58645,1.5,172.3,1.364,94,0,0.256,0.102,0.017,0,0.085,0.085,1504,4272,95,95
134,57000,1.5,186.6,1.421,45,0,0.439,0.14,0.035,0,0.14,0.14,464,6242,95,95
135,95145,1.5,141.7,1.303,95,0,0.221,0.053,0.021,0.011,0.105,0.105,2059,2234,95,95
136,42111,1.5,63,1.757,83,0,0.309,0.119,0.095,0.024,0.071,0.071,2924,799,50,50
137,52100,1.5,82.1,1.497,96,0,0.345,0.077,0.038,0,0.096,0.096,3398,548,100,100
138,152262,1.5,141.6,0.972,92,0,0.197,0.059,0.039,0.007,0.525,0.16,3398,548,100,100
139,50602,1.5,250.8,2.292,78,0,0.593,0.158,0.04,0,0.237,0.16,562,6496,95,95
140,50602,1.5,253.1,2.45,78,0,0.494,0.198,0.099,0.02,0.316,0.16,562,6496,100,100
141,55100,1.5,174.6,1.216,94,0,0.327,0.091,0.036,0,0.091,0.091,562,6496,95,95
142,50395,1.5,183,1.945,65,0.099,0.397,0.119,0.06,0,0.139,0.139,647,6080,95,95
143,49500,1.5,190.7,1.919,91,0,0.768,0.081,0.081,0.101,0,0,3398,548,100,100
144,54436,1.5,190.6,1.745,78,0,0.514,0.147,0.018,0,0.092,0.092,867,4549,95,95
145,29183,1.5,249.1,2.467,91,0,0.583,0.206,0.171,0.069,0.103,0.103,1376,3722,100,100
146,40000,1.5,153.2,1.85,95,0,0.5,0.175,0.075,0.025,0.025,0.025,3398,548,100,100
147,83247,1.5,332.6,1.417,83,0,0.264,0.084,0.024,0,0.072,0.072,3269,1111,100,100
148,55349,1.5,218.7,1.608,98,0,0.524,0.145,0.036,0.018,0.072,0.072,941,5301,100,100
149,54000,1.5,184.6,1.519,85,0,0.37,0.074,0.056,0,0.093,0.093,464,6242,95,95
150,54000,1.5,121.3,1.481,96,0,0.185,0.167,0.037,0.019,0.093,0.093,2944,1061,95,95
151,33257,1.5,226.1,1.503,75,0,0.541,0.15,0.12,0.09,0.03,0.03,464,6242,95,95
152,65000,1.5,122.1,1.231,80,0,0.262,0.077,0.015,0,0.108,0.108,2059,2234,100,100
153,67564,1.5,177.7,1.436,95,0,0.252,0.074,0.015,0,0.118,0.118,2059,2234,95,95
154,114371,1.5,235.2,1.303,87,0,0.227,0.079,0.035,0.017,0.044,0.044,562,6446,95,95
155,69000,1.5,220.9,1.638,93,0,0.232,0.116,0.043,0.014,0.043,0.043,941,5301,95,95
156,56759,1.5,194.8,1.568,88,0.018,0.282,0.123,0.053,0.018,0.035,0.035,750,5705,95,95
157,61895,1.5,191.4,1.454,62,0,0.259,0.129,0.032,0.016,0.081,0.081,941,5301,100,100
158,56517,1.5,204.5,1.292,94,0,0.407,0.124,0.053,0.035,0.018,0.018,941,5301,95,95
159,56271,1.5,249,1.511,98,0,0.284,0.142,0.036,0.018,0.089,0.089,647,6080,100,100
160,74500,1.5,169.9,1.383,73,0,0.215,0.121,0.067,0.013,0.054,0.054,591,5779,95,95
161,68826,1.5,210.4,1.511,97,0,0.218,0.116,0.044,0.015,0.044,0.044,941,5301,95,95
162,77313,1.5,132.2,1.371,75,0,0.207,0.078,0.026,0.026,0.026,0.026,941,5301,100,100
163,89652,1.5,190.2,1.283,59,0.011,0.346,0.123,0.1,0.022,0.033,0.033,750,5705,100,100
164,67000,1.5,104.3,1.507,94,0,0.358,0.09,0.045,0.015,0.09,0.09,1710,3148,100,100
165,40500,1.5,158.6,1.481,87,0,0.346,0.148,0.049,0.049,0.049,0.049,1376,3722,100,100
166,72240,1.5,106.9,1.107,95,0,0.194,0.111,0.028,0.014,0.042,0.042,2059,2234,95,95
167,42561,1.5,267.2,1.48,56,0,0.47,0.141,0.094,0.023,0.164,0.16,614,6200,95,95
168,42407,1.5,245.2,1.509,82,0,0.424,0.165,0.071,0,0.141,0.141,991,5338,95,95
169,44000,1.5,59.2,1.75,84,0,0.364,0.159,0.045,0.045,0.068,0.068,2924,799,100,100
170,72606,1.5,97,1.102,100,0,0.179,0.083,0.028,0,0.083,0.083,1896,3305,95,95
171,82756,1.5,96.1,1.1,94,0,0.181,0.097,0.024,0.012,0.036,0.036,1896,3305,95,95
172,105704,1.5,52.2,1.107,47,0,0.199,0.085,0.019,0.019,0.009,0.009,484,1417,100,100
173,54843,1.5,133.7,1.13,71,0,0.31,0.109,0.018,0.036,0.018,0.018,2488,1993,100,100
174,70000,1.5,109.3,1.357,81,0,0.371,0.114,0.029,0.029,0.043,0.043,932,4915,100,100
175,66173,1.5,118.6,1.693,78,0,0.332,0.076,0.06,0.03,0.045,0.045,932,4915,100,100
176,41668,1.5,204.5,1.776,49,0,0.432,0.144,0.096,0.024,0.048,0.048,2934,1915,100,100
177,73482,1.5,48.1,1.415,100,0,0.354,0.095,0.027,0.014,0.122,0.122,989,2671,100,100
178,161314,1.5,53.3,1.06,64,0,0.254,0.056,0.012,0.012,0.056,0.056,989,2671,100,100
179,32000,182.9,207,1.594,98,0,0.438,0.188,0.094,0,0.125,0.125,2059,2234,95,95
180,93604,182.9,168.6,1.335,86,0,0.32,0.128,0.043,0,0.171,0.16,484,1417,100,100
181,97500,182.9,202.8,1.169,68,0,0.359,0.174,0.041,0,0.113,0.113,484,1417,100,100
182,47538,1.5,206.5,1.557,73,0,0.316,0.147,0.063,0.042,0.021,0.021,2934,1915,100,100
183,73976,1.5,24,0.608,80,0,0.176,0.041,0.027,0,0.095,0.095,484,1417,100,100
184,56064,1.5,612.7,1.427,88,0,0.303,0.125,0.054,0,0.125,0.125,2181,2392,95,95
185,44200,182.9,302.8,1.719,88,0.158,1.041,0.905,0.068,0.045,0,0,809,6007,100,100
186,32000,182.9,113.9,1.469,92,0.063,1.094,0.438,0.063,0.063,0,0,453,5713,100,100
